   LOG10(FN) FN  Magnitudes: Lamda11, Lamda22 ...
   3.1078272          1281.8206         0.23528783E-07
   3.1141283          1300.5536         0.24200869E-07
   3.1204293          1319.5605         0.24892141E-07
   3.1267303          1338.8451         0.25603146E-07
   3.1330314          1358.4115         0.26334447E-07
   3.1393324          1378.2639         0.27086623E-07
   3.1456334          1398.4064         0.27860269E-07
   3.1519344          1418.8433         0.28655998E-07
   3.1582355          1439.5789         0.29474439E-07
   3.1645365          1460.6175         0.30316240E-07
   3.1708375          1481.9636         0.31182068E-07
   3.1771386          1503.6216         0.32072608E-07
   3.1834396          1525.5962         0.32988564E-07
   3.1897406          1547.8919         0.33930661E-07
   3.1960417          1570.5134         0.34899645E-07
   3.2023427          1593.4656         0.35896281E-07
   3.2086437          1616.7531         0.36921360E-07
   3.2149447          1640.3810         0.37975692E-07
   3.2212458          1664.3543         0.39060110E-07
   3.2275468          1688.6778         0.40175473E-07
   3.2338478          1713.3569         0.41322663E-07
   3.2401489          1738.3966         0.42502587E-07
   3.2464499          1763.8022         0.43716179E-07
   3.2527509          1789.5792         0.44964398E-07
   3.2590520          1815.7329         0.46248232E-07
   3.2653530          1842.2687         0.47568696E-07
   3.2716540          1869.1924         0.48926833E-07
   3.2779550          1896.5096         0.50323719E-07
   3.2842561          1924.2260         0.51760457E-07
   3.2905571          1952.3474         0.53238184E-07
   3.2968581          1980.8798         0.54758067E-07
   3.3031592          2009.8292         0.56321309E-07
   3.3094602          2039.2017         0.57929145E-07
   3.3157612          2069.0035         0.59582845E-07
   3.3220623          2099.2408         0.61283718E-07
   3.3283633          2129.9200         0.63033107E-07
   3.3346643          2161.0475         0.64832396E-07
   3.3409653          2192.6299         0.66683005E-07
   3.3472664          2224.6740         0.68586398E-07
   3.3535674          2257.1863         0.70544079E-07
   3.3598684          2290.1737         0.72557594E-07
   3.3661695          2323.6433         0.74628535E-07
   3.3724705          2357.6020         0.76758538E-07
   3.3787715          2392.0570         0.78949284E-07
   3.3850726          2427.0155         0.81202506E-07
   3.3913736          2462.4849         0.83519984E-07
   3.3976746          2498.4727         0.85903546E-07
   3.4039756          2534.9864         0.88355077E-07
   3.4102767          2572.0338         0.90876513E-07
   3.4165777          2609.6226         0.93469845E-07
   3.4228787          2647.7607         0.96137120E-07
   3.4291798          2686.4562         0.98880446E-07
   3.4354808          2725.7172         0.10170199E-06
   3.4417818          2765.5520         0.10460397E-06
   3.4480829          2805.9689         0.10758870E-06
   3.4543839          2846.9765         0.11065851E-06
